date,screen_name,followers,following,posts,lists,likes
2022-09-18,LulaOficial,4355557,2803,27026,4057,14979
2022-09-18,jairbolsonaro,8918819,497,14974,8405,5882
2022-09-18,cirogomes,1487689,415,12752,3277,5839
2022-09-18,simonetebetbr,365885,239,3052,851,12421
