start,start_date,start_time,end,end_date,end_time,@LulaOficial_mentions,@LulaOficial_mentions_without_retweet,@jairbolsonaro_mentions,@jairbolsonaro_mentions_without_retweet,@cirogomes_mentions,@cirogomes_mentions_without_retweet,@simonetebetbr_mentions,@simonetebetbr_mentions_without_retweet
2022-09-12 19:00:00-03:00,2022-09-12,19:00:00,2022-09-12 20:00:00-03:00,2022-09-12,20:00:00,12009,6035,7892,2065,3210,1538,253,180
2022-09-12 20:00:00-03:00,2022-09-12,20:00:00,2022-09-12 21:00:00-03:00,2022-09-12,21:00:00,22107,8869,6958,2129,2604,1082,237,164
2022-09-12 21:00:00-03:00,2022-09-12,21:00:00,2022-09-12 22:00:00-03:00,2022-09-12,22:00:00,23491,10706,7819,2431,3043,1685,358,227
2022-09-12 22:00:00-03:00,2022-09-12,22:00:00,2022-09-12 23:00:00-03:00,2022-09-12,23:00:00,25729,12866,7137,2191,2120,1258,329,241
2022-09-12 23:00:00-03:00,2022-09-12,23:00:00,2022-09-13 00:00:00-03:00,2022-09-13,00:00:00,17254,8781,5527,1549,1604,885,241,157
2022-09-13 00:00:00-03:00,2022-09-13,00:00:00,2022-09-13 01:00:00-03:00,2022-09-13,01:00:00,9560,4682,7533,1972,991,565,190,141
2022-09-13 01:00:00-03:00,2022-09-13,01:00:00,2022-09-13 02:00:00-03:00,2022-09-13,02:00:00,4427,2287,3248,861,559,285,106,82
2022-09-13 02:00:00-03:00,2022-09-13,02:00:00,2022-09-13 03:00:00-03:00,2022-09-13,03:00:00,2512,1204,1685,360,324,154,37,33
2022-09-13 03:00:00-03:00,2022-09-13,03:00:00,2022-09-13 04:00:00-03:00,2022-09-13,04:00:00,1590,748,1066,251,207,108,40,24
2022-09-13 04:00:00-03:00,2022-09-13,04:00:00,2022-09-13 05:00:00-03:00,2022-09-13,05:00:00,1524,766,1107,248,192,96,31,18
2022-09-13 05:00:00-03:00,2022-09-13,05:00:00,2022-09-13 06:00:00-03:00,2022-09-13,06:00:00,2642,1361,1952,435,255,121,52,27
2022-09-13 06:00:00-03:00,2022-09-13,06:00:00,2022-09-13 07:00:00-03:00,2022-09-13,07:00:00,5134,3043,4495,975,625,309,88,56
2022-09-13 07:00:00-03:00,2022-09-13,07:00:00,2022-09-13 08:00:00-03:00,2022-09-13,08:00:00,7871,4625,9169,2588,861,413,143,99
2022-09-13 08:00:00-03:00,2022-09-13,08:00:00,2022-09-13 09:00:00-03:00,2022-09-13,09:00:00,10104,5890,9472,2964,820,424,164,118
2022-09-13 09:00:00-03:00,2022-09-13,09:00:00,2022-09-13 10:00:00-03:00,2022-09-13,10:00:00,8987,5589,10077,3141,1320,692,175,142
