date,screen_name,followers,following,posts,lists,likes
2022-09-20,LulaOficial,4388748,2805,27079,4075,14993
2022-09-20,jairbolsonaro,8944712,497,14986,8414,5889
2022-09-20,cirogomes,1488237,415,12804,3281,5838
2022-09-20,simonetebetbr,366533,239,3072,857,12425
