start,start_date,start_time,end,end_date,end_time,@LulaOficial_mentions,@LulaOficial_mentions_without_retweet,@jairbolsonaro_mentions,@jairbolsonaro_mentions_without_retweet,@cirogomes_mentions,@cirogomes_mentions_without_retweet,@simonetebetbr_mentions,@simonetebetbr_mentions_without_retweet
2022-09-14 10:00:00-03:00,2022-09-14,10:00:00,2022-09-14 11:00:00-03:00,2022-09-14,11:00:00,6804,3808,11819,2789,3852,2143,645,466
2022-09-14 11:00:00-03:00,2022-09-14,11:00:00,2022-09-14 12:00:00-03:00,2022-09-14,12:00:00,6464,3658,10661,2510,2851,1493,529,373
2022-09-14 12:00:00-03:00,2022-09-14,12:00:00,2022-09-14 13:00:00-03:00,2022-09-14,13:00:00,6856,3765,9519,2312,2697,1362,496,348
2022-09-14 13:00:00-03:00,2022-09-14,13:00:00,2022-09-14 14:00:00-03:00,2022-09-14,14:00:00,10227,5167,9689,2200,2491,1315,458,348
2022-09-14 14:00:00-03:00,2022-09-14,14:00:00,2022-09-14 15:00:00-03:00,2022-09-14,15:00:00,8045,4441,7244,2021,2699,1563,299,217
2022-09-14 15:00:00-03:00,2022-09-14,15:00:00,2022-09-14 16:00:00-03:00,2022-09-14,16:00:00,6837,3663,6393,1756,2555,1553,306,253
2022-09-14 16:00:00-03:00,2022-09-14,16:00:00,2022-09-14 17:00:00-03:00,2022-09-14,17:00:00,7528,3973,6505,1825,2438,1430,261,195
2022-09-14 17:00:00-03:00,2022-09-14,17:00:00,2022-09-14 18:00:00-03:00,2022-09-14,18:00:00,7350,3850,6218,1796,2153,1153,226,176
2022-09-14 18:00:00-03:00,2022-09-14,18:00:00,2022-09-14 19:00:00-03:00,2022-09-14,19:00:00,7328,4085,11316,2700,2590,1310,273,136
2022-09-14 19:00:00-03:00,2022-09-14,19:00:00,2022-09-14 20:00:00-03:00,2022-09-14,20:00:00,8790,4682,10285,2269,2355,1306,192,150
2022-09-14 20:00:00-03:00,2022-09-14,20:00:00,2022-09-14 21:00:00-03:00,2022-09-14,21:00:00,8505,4598,8950,2196,2455,1229,205,158
2022-09-14 21:00:00-03:00,2022-09-14,21:00:00,2022-09-14 22:00:00-03:00,2022-09-14,22:00:00,8965,4533,11343,2959,2773,1321,212,148
2022-09-14 22:00:00-03:00,2022-09-14,22:00:00,2022-09-14 23:00:00-03:00,2022-09-14,23:00:00,10418,5130,8775,2078,2073,1088,216,162
2022-09-14 23:00:00-03:00,2022-09-14,23:00:00,2022-09-15 00:00:00-03:00,2022-09-15,00:00:00,10455,5298,8411,1880,1810,944,127,94
2022-09-15 00:00:00-03:00,2022-09-15,00:00:00,2022-09-15 01:00:00-03:00,2022-09-15,01:00:00,5713,2808,5289,1161,1113,524,90,69
2022-09-15 01:00:00-03:00,2022-09-15,01:00:00,2022-09-15 02:00:00-03:00,2022-09-15,02:00:00,2734,1357,2746,705,598,296,45,28
2022-09-15 02:00:00-03:00,2022-09-15,02:00:00,2022-09-15 03:00:00-03:00,2022-09-15,03:00:00,1579,755,1595,386,368,181,41,28
2022-09-15 03:00:00-03:00,2022-09-15,03:00:00,2022-09-15 04:00:00-03:00,2022-09-15,04:00:00,996,424,1083,222,213,107,26,17
2022-09-15 04:00:00-03:00,2022-09-15,04:00:00,2022-09-15 05:00:00-03:00,2022-09-15,05:00:00,939,441,1248,267,161,92,27,17
2022-09-15 05:00:00-03:00,2022-09-15,05:00:00,2022-09-15 06:00:00-03:00,2022-09-15,06:00:00,1783,856,1713,325,302,161,36,25
2022-09-15 06:00:00-03:00,2022-09-15,06:00:00,2022-09-15 07:00:00-03:00,2022-09-15,07:00:00,3786,2053,3424,733,624,335,85,59
2022-09-15 07:00:00-03:00,2022-09-15,07:00:00,2022-09-15 08:00:00-03:00,2022-09-15,08:00:00,6335,3403,8903,1785,1059,530,74,53
2022-09-15 08:00:00-03:00,2022-09-15,08:00:00,2022-09-15 09:00:00-03:00,2022-09-15,09:00:00,8426,4836,8045,1737,2169,1123,77,53
2022-09-15 09:00:00-03:00,2022-09-15,09:00:00,2022-09-15 10:00:00-03:00,2022-09-15,10:00:00,7240,4203,7647,1770,2542,1245,64,45
2022-09-15 10:00:00-03:00,2022-09-15,10:00:00,2022-09-15 11:00:00-03:00,2022-09-15,11:00:00,7267,3865,6912,1633,2888,1523,98,70
2022-09-15 11:00:00-03:00,2022-09-15,11:00:00,2022-09-15 12:00:00-03:00,2022-09-15,12:00:00,7455,3954,8014,2118,2762,1429,79,50
2022-09-15 12:00:00-03:00,2022-09-15,12:00:00,2022-09-15 13:00:00-03:00,2022-09-15,13:00:00,7447,3887,8346,2335,2537,1323,54,35
2022-09-15 13:00:00-03:00,2022-09-15,13:00:00,2022-09-15 14:00:00-03:00,2022-09-15,14:00:00,7476,3915,9749,2651,2785,1306,302,242
2022-09-15 14:00:00-03:00,2022-09-15,14:00:00,2022-09-15 15:00:00-03:00,2022-09-15,15:00:00,6445,3315,8654,2295,2092,1038,260,174
2022-09-15 15:00:00-03:00,2022-09-15,15:00:00,2022-09-15 16:00:00-03:00,2022-09-15,16:00:00,6235,3165,6677,1885,2069,1038,330,200
2022-09-15 16:00:00-03:00,2022-09-15,16:00:00,2022-09-15 17:00:00-03:00,2022-09-15,17:00:00,6321,3141,6170,1828,1785,856,180,107
2022-09-15 17:00:00-03:00,2022-09-15,17:00:00,2022-09-15 18:00:00-03:00,2022-09-15,18:00:00,7185,3803,6107,1797,3052,1592,197,122
2022-09-15 18:00:00-03:00,2022-09-15,18:00:00,2022-09-15 19:00:00-03:00,2022-09-15,19:00:00,11345,5102,6378,1644,2892,1421,193,138
2022-09-15 19:00:00-03:00,2022-09-15,19:00:00,2022-09-15 20:00:00-03:00,2022-09-15,20:00:00,11374,5511,7835,2165,2394,1062,196,109
2022-09-15 20:00:00-03:00,2022-09-15,20:00:00,2022-09-15 21:00:00-03:00,2022-09-15,21:00:00,14499,6030,6612,1778,1946,963,155,106
2022-09-15 21:00:00-03:00,2022-09-15,21:00:00,2022-09-15 22:00:00-03:00,2022-09-15,22:00:00,15898,7430,6548,1975,1921,902,236,146
2022-09-15 22:00:00-03:00,2022-09-15,22:00:00,2022-09-15 23:00:00-03:00,2022-09-15,23:00:00,15485,7696,6634,2118,2144,1042,220,158
2022-09-15 23:00:00-03:00,2022-09-15,23:00:00,2022-09-16 00:00:00-03:00,2022-09-16,00:00:00,13083,6872,5013,1416,1645,779,129,103
2022-09-16 00:00:00-03:00,2022-09-16,00:00:00,2022-09-16 01:00:00-03:00,2022-09-16,01:00:00,7115,3811,3623,1032,967,471,87,55
2022-09-16 01:00:00-03:00,2022-09-16,01:00:00,2022-09-16 02:00:00-03:00,2022-09-16,02:00:00,3058,1473,1844,566,549,273,68,56
2022-09-16 02:00:00-03:00,2022-09-16,02:00:00,2022-09-16 03:00:00-03:00,2022-09-16,03:00:00,1860,866,954,388,378,157,15,12
2022-09-16 03:00:00-03:00,2022-09-16,03:00:00,2022-09-16 04:00:00-03:00,2022-09-16,04:00:00,1229,567,662,199,217,113,13,10
2022-09-16 04:00:00-03:00,2022-09-16,04:00:00,2022-09-16 05:00:00-03:00,2022-09-16,05:00:00,1365,559,703,165,221,79,18,12
2022-09-16 05:00:00-03:00,2022-09-16,05:00:00,2022-09-16 06:00:00-03:00,2022-09-16,06:00:00,2014,1037,1380,458,287,159,20,13
2022-09-16 06:00:00-03:00,2022-09-16,06:00:00,2022-09-16 07:00:00-03:00,2022-09-16,07:00:00,3689,1924,2802,707,614,360,72,38
2022-09-16 07:00:00-03:00,2022-09-16,07:00:00,2022-09-16 08:00:00-03:00,2022-09-16,08:00:00,6740,3515,6509,1480,855,518,79,46
2022-09-16 08:00:00-03:00,2022-09-16,08:00:00,2022-09-16 09:00:00-03:00,2022-09-16,09:00:00,8120,4535,6700,1689,1175,646,294,255
2022-09-16 09:00:00-03:00,2022-09-16,09:00:00,2022-09-16 10:00:00-03:00,2022-09-16,10:00:00,8623,4563,6039,1669,1886,810,280,245
2022-09-16 10:00:00-03:00,2022-09-16,10:00:00,2022-09-16 11:00:00-03:00,2022-09-16,11:00:00,8088,4551,5264,1629,1448,683,219,179
