start,start_date,start_time,end,end_date,end_time,@LulaOficial_mentions,@LulaOficial_mentions_without_retweet,@jairbolsonaro_mentions,@jairbolsonaro_mentions_without_retweet,@cirogomes_mentions,@cirogomes_mentions_without_retweet,@simonetebetbr_mentions,@simonetebetbr_mentions_without_retweet
2022-09-15 11:00:00-03:00,2022-09-15,11:00:00,2022-09-15 12:00:00-03:00,2022-09-15,12:00:00,7447,3948,7999,2117,2762,1429,79,50
2022-09-15 12:00:00-03:00,2022-09-15,12:00:00,2022-09-15 13:00:00-03:00,2022-09-15,13:00:00,7426,3873,8335,2335,2535,1321,54,35
2022-09-15 13:00:00-03:00,2022-09-15,13:00:00,2022-09-15 14:00:00-03:00,2022-09-15,14:00:00,7466,3907,9734,2643,2783,1305,299,240
2022-09-15 14:00:00-03:00,2022-09-15,14:00:00,2022-09-15 15:00:00-03:00,2022-09-15,15:00:00,6435,3305,8648,2293,2091,1038,260,174
2022-09-15 15:00:00-03:00,2022-09-15,15:00:00,2022-09-15 16:00:00-03:00,2022-09-15,16:00:00,6229,3161,6669,1881,2070,1038,327,199
2022-09-15 16:00:00-03:00,2022-09-15,16:00:00,2022-09-15 17:00:00-03:00,2022-09-15,17:00:00,6312,3131,6168,1827,1785,858,180,107
2022-09-15 17:00:00-03:00,2022-09-15,17:00:00,2022-09-15 18:00:00-03:00,2022-09-15,18:00:00,7162,3791,6096,1795,3049,1590,197,122
2022-09-15 18:00:00-03:00,2022-09-15,18:00:00,2022-09-15 19:00:00-03:00,2022-09-15,19:00:00,11309,5077,6365,1642,2890,1420,190,135
2022-09-15 19:00:00-03:00,2022-09-15,19:00:00,2022-09-15 20:00:00-03:00,2022-09-15,20:00:00,11368,5506,7826,2162,2390,1059,196,109
2022-09-15 20:00:00-03:00,2022-09-15,20:00:00,2022-09-15 21:00:00-03:00,2022-09-15,21:00:00,14473,6011,6610,1778,1945,962,155,106
2022-09-15 21:00:00-03:00,2022-09-15,21:00:00,2022-09-15 22:00:00-03:00,2022-09-15,22:00:00,15875,7414,6545,1975,1919,900,235,145
2022-09-15 22:00:00-03:00,2022-09-15,22:00:00,2022-09-15 23:00:00-03:00,2022-09-15,23:00:00,15467,7685,6620,2112,2141,1039,220,158
2022-09-15 23:00:00-03:00,2022-09-15,23:00:00,2022-09-16 00:00:00-03:00,2022-09-16,00:00:00,13058,6852,5005,1413,1646,780,129,104
2022-09-16 00:00:00-03:00,2022-09-16,00:00:00,2022-09-16 01:00:00-03:00,2022-09-16,01:00:00,7104,3801,3615,1030,965,470,87,55
2022-09-16 01:00:00-03:00,2022-09-16,01:00:00,2022-09-16 02:00:00-03:00,2022-09-16,02:00:00,3057,1472,1840,566,549,273,68,56
2022-09-16 02:00:00-03:00,2022-09-16,02:00:00,2022-09-16 03:00:00-03:00,2022-09-16,03:00:00,1856,862,953,388,379,158,15,12
2022-09-16 03:00:00-03:00,2022-09-16,03:00:00,2022-09-16 04:00:00-03:00,2022-09-16,04:00:00,1226,564,662,199,217,113,13,10
2022-09-16 04:00:00-03:00,2022-09-16,04:00:00,2022-09-16 05:00:00-03:00,2022-09-16,05:00:00,1363,559,704,165,218,79,18,12
2022-09-16 05:00:00-03:00,2022-09-16,05:00:00,2022-09-16 06:00:00-03:00,2022-09-16,06:00:00,2013,1036,1376,455,287,159,20,13
2022-09-16 06:00:00-03:00,2022-09-16,06:00:00,2022-09-16 07:00:00-03:00,2022-09-16,07:00:00,3674,1910,2795,706,615,361,72,38
2022-09-16 07:00:00-03:00,2022-09-16,07:00:00,2022-09-16 08:00:00-03:00,2022-09-16,08:00:00,6728,3507,6508,1479,852,516,79,46
2022-09-16 08:00:00-03:00,2022-09-16,08:00:00,2022-09-16 09:00:00-03:00,2022-09-16,09:00:00,8111,4529,6693,1688,1171,645,293,254
2022-09-16 09:00:00-03:00,2022-09-16,09:00:00,2022-09-16 10:00:00-03:00,2022-09-16,10:00:00,8608,4549,6031,1668,1885,810,279,244
2022-09-16 10:00:00-03:00,2022-09-16,10:00:00,2022-09-16 11:00:00-03:00,2022-09-16,11:00:00,8077,4545,5258,1625,1445,682,219,179
2022-09-16 11:00:00-03:00,2022-09-16,11:00:00,2022-09-16 12:00:00-03:00,2022-09-16,12:00:00,7801,4380,5639,1662,1257,654,340,270
2022-09-16 12:00:00-03:00,2022-09-16,12:00:00,2022-09-16 13:00:00-03:00,2022-09-16,13:00:00,7374,4108,6148,1690,1862,784,259,176
2022-09-16 13:00:00-03:00,2022-09-16,13:00:00,2022-09-16 14:00:00-03:00,2022-09-16,14:00:00,7797,4202,7532,2216,1856,829,241,152
2022-09-16 14:00:00-03:00,2022-09-16,14:00:00,2022-09-16 15:00:00-03:00,2022-09-16,15:00:00,7608,4193,7334,1984,1486,704,205,155
2022-09-16 15:00:00-03:00,2022-09-16,15:00:00,2022-09-16 16:00:00-03:00,2022-09-16,16:00:00,7338,4090,6764,1956,1586,739,184,126
2022-09-16 16:00:00-03:00,2022-09-16,16:00:00,2022-09-16 17:00:00-03:00,2022-09-16,17:00:00,6742,3927,6236,1964,1449,679,196,132
2022-09-16 17:00:00-03:00,2022-09-16,17:00:00,2022-09-16 18:00:00-03:00,2022-09-16,18:00:00,7032,3743,5774,1651,2720,1777,239,151
2022-09-16 18:00:00-03:00,2022-09-16,18:00:00,2022-09-16 19:00:00-03:00,2022-09-16,19:00:00,10938,5234,8114,1952,3975,2259,159,107
2022-09-16 19:00:00-03:00,2022-09-16,19:00:00,2022-09-16 20:00:00-03:00,2022-09-16,20:00:00,11284,5811,7013,1897,3431,1882,210,141
2022-09-16 20:00:00-03:00,2022-09-16,20:00:00,2022-09-16 21:00:00-03:00,2022-09-16,21:00:00,12536,5817,10000,2195,2743,1393,167,122
2022-09-16 21:00:00-03:00,2022-09-16,21:00:00,2022-09-16 22:00:00-03:00,2022-09-16,22:00:00,16993,7631,8456,1842,2437,1189,209,152
2022-09-16 22:00:00-03:00,2022-09-16,22:00:00,2022-09-16 23:00:00-03:00,2022-09-16,23:00:00,13604,6391,7057,1649,2293,1043,388,238
2022-09-16 23:00:00-03:00,2022-09-16,23:00:00,2022-09-17 00:00:00-03:00,2022-09-17,00:00:00,9973,4779,5815,1330,1671,795,306,196
2022-09-17 00:00:00-03:00,2022-09-17,00:00:00,2022-09-17 01:00:00-03:00,2022-09-17,01:00:00,6756,3174,4069,910,1054,523,135,92
2022-09-17 01:00:00-03:00,2022-09-17,01:00:00,2022-09-17 02:00:00-03:00,2022-09-17,02:00:00,3907,1822,2234,523,716,306,55,42
2022-09-17 02:00:00-03:00,2022-09-17,02:00:00,2022-09-17 03:00:00-03:00,2022-09-17,03:00:00,2143,974,1336,300,308,143,51,27
2022-09-17 03:00:00-03:00,2022-09-17,03:00:00,2022-09-17 04:00:00-03:00,2022-09-17,04:00:00,1382,676,976,261,234,101,42,24
2022-09-17 04:00:00-03:00,2022-09-17,04:00:00,2022-09-17 05:00:00-03:00,2022-09-17,05:00:00,1443,603,937,191,203,104,33,22
2022-09-17 05:00:00-03:00,2022-09-17,05:00:00,2022-09-17 06:00:00-03:00,2022-09-17,06:00:00,1915,810,1288,273,263,148,33,19
2022-09-17 06:00:00-03:00,2022-09-17,06:00:00,2022-09-17 07:00:00-03:00,2022-09-17,07:00:00,3310,1566,2516,512,375,180,53,31
2022-09-17 07:00:00-03:00,2022-09-17,07:00:00,2022-09-17 08:00:00-03:00,2022-09-17,08:00:00,5219,2773,5160,1148,791,352,91,59
2022-09-17 08:00:00-03:00,2022-09-17,08:00:00,2022-09-17 09:00:00-03:00,2022-09-17,09:00:00,7631,4180,7038,1622,898,426,130,95
2022-09-17 09:00:00-03:00,2022-09-17,09:00:00,2022-09-17 10:00:00-03:00,2022-09-17,10:00:00,8212,4432,7330,1861,1284,587,182,129
2022-09-17 10:00:00-03:00,2022-09-17,10:00:00,2022-09-17 11:00:00-03:00,2022-09-17,11:00:00,8201,4468,6880,1743,1514,659,133,92
2022-09-17 11:00:00-03:00,2022-09-17,11:00:00,2022-09-17 12:00:00-03:00,2022-09-17,12:00:00,8177,4207,6500,1617,1875,830,234,180
2022-09-17 12:00:00-03:00,2022-09-17,12:00:00,2022-09-17 13:00:00-03:00,2022-09-17,13:00:00,8647,4563,7603,2059,2043,852,369,251
2022-09-17 13:00:00-03:00,2022-09-17,13:00:00,2022-09-17 14:00:00-03:00,2022-09-17,14:00:00,12802,6177,9457,2350,3131,1350,239,195
2022-09-17 14:00:00-03:00,2022-09-17,14:00:00,2022-09-17 15:00:00-03:00,2022-09-17,15:00:00,12398,6020,8658,2205,2699,1345,241,163
2022-09-17 15:00:00-03:00,2022-09-17,15:00:00,2022-09-17 16:00:00-03:00,2022-09-17,16:00:00,10684,5407,9030,2146,2682,1262,198,129
2022-09-17 16:00:00-03:00,2022-09-17,16:00:00,2022-09-17 17:00:00-03:00,2022-09-17,17:00:00,9827,4831,8567,2031,1885,907,123,101
