date,screen_name,followers,following,posts,lists,likes
2022-09-19,LulaOficial,4373145,2805,27058,4066,14991
2022-09-19,jairbolsonaro,8933479,497,14978,8415,5886
2022-09-19,cirogomes,1488679,415,12764,3278,5837
2022-09-19,simonetebetbr,366207,239,3069,853,12423
