date,screen_name,followers,following,posts,lists,likes
2022-09-22,LulaOficial,4402918,2804,27107,4076,15004
2022-09-22,jairbolsonaro,8956179,497,14996,8422,5893
2022-09-22,cirogomes,1487923,415,12848,3282,5840
2022-09-22,simonetebetbr,366980,239,3091,859,12429
