date,screen_name,followers,following,posts,lists,likes
2022-09-23,LulaOficial,4412277,2806,27142,4083,15014
2022-09-23,jairbolsonaro,8962998,497,15005,8422,5899
2022-09-23,cirogomes,1489103,415,12864,3280,5841
2022-09-23,simonetebetbr,367428,239,3098,859,12417
